,Age,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Duration,Calories_Burned,Fat_Percentage,Water_Intake,Frequency,BMI,avg_calories_burned,heart_rate_reserve,heart_rate_recovery,perceived_intensity,fitness_composite_score,Gender_Female,Gender_Male,Workout_Type_Cardio,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Intensity_High,Intensity_Low,Intensity_Mid
0,0.9268292682926831,0.6722730468778253,0.41999999999999993,0.5128205128205128,0.7551020408163267,0.41666666666666696,0.7933333333333332,0.8273546673531929,0.10399999999999998,0.9090909090909091,0.6666666666666666,0.6415439819613704,0.6086286594761168,0.5396825396825395,0.3609787971237489,0.6107078039927405,0.6675,0,1,0,0,0,1,0,1,0
1,0.6829268292682928,0.532542808803103,0.06000000000000005,0.4871794871794872,0.6326530612244898,0.666666666666667,0.5333333333333334,0.6034985264166819,0.9559999999999998,0.2727272727272728,0.6666666666666666,0.6829680163254537,0.3574730354391371,0.4285714285714284,0.4197414616647858,0.5458257713248638,1.0,1,0,0,1,0,0,1,0,0
2,0.34146341463414637,0.45173981069578373,0.31999999999999984,0.17948717948717974,0.04081632653061229,0.16666666666666696,0.4066666666666667,0.45360801239095583,0.936,0.36363636363636365,0.6666666666666666,0.49798732932448253,0.180277349768875,0.4285714285714284,0.3890297655424197,0.28924682395644274,0.6675,1,0,1,0,0,0,0,0,1
3,0.17073170731707316,0.24211092640403953,0.3999999999999999,0.7692307692307692,0.8979591836734695,0.25,0.06,0.3176123631347827,0.7520000000000001,0.2727272727272728,0.33333333333333337,0.2874011058818713,0.9291217257318951,0.7619047619047619,0.8958423071686599,0.5902903811252267,0.3325,0,1,0,0,1,0,1,0,0
4,0.48780487804878053,0.120498554024417,0.5800000000000001,0.7179487179487181,0.7755102040816326,0.75,0.09333333333333332,0.34250900120279404,0.7679999999999999,0.5909090909090909,0.33333333333333337,0.11112638726767377,0.8443759630200309,0.5396825396825395,0.7732313209514525,0.5385662431941924,0.6675,0,1,0,0,1,0,1,0,0
5,0.9268292682926831,0.3154496477237769,0.3599999999999999,0.2051282051282053,0.7346938775510203,1.0,0.7266666666666668,0.7356309670207772,0.21999999999999997,0.5454545454545455,0.9999999999999999,0.3660841513709183,0.4160246533127887,0.12698412698412698,0.31008146291809213,0.7386569872958257,0.6675,1,0,0,1,0,0,1,0,0
6,0.43902439024390244,0.4787327454782786,0.43999999999999995,0.3589743589743595,1.0,0.9583333333333335,0.6599999999999999,0.8574765132788116,0.45200000000000007,0.36363636363636365,0.33333333333333337,0.46993588673678577,0.9999999999999998,0.23809523809523792,0.4111727117328595,0.8355263157894735,0.6675,0,1,1,0,0,0,0,0,1
7,0.5365853658536586,0.47145573827203124,0.020000000000000018,0.7435897435897436,0.4285714285714288,0.5833333333333335,0.5133333333333334,0.6111148254484964,0.824,0.18181818181818177,0.33333333333333337,0.6502569645947767,0.423728813559322,0.6190476190476188,0.3844711151443832,0.3244101633393828,0.6675,1,0,1,0,0,0,0,0,1
8,0.2439024390243903,0.9446415416710381,0.8799999999999999,0.6410256410256414,0.14285714285714324,0.08333333333333348,0.35333333333333333,0.4875691995250291,0.7559999999999999,0.5000000000000001,0.6666666666666666,0.6905302640037037,0.4052388289676425,0.746031746031746,0.4680670060377836,0.1894283121597098,0.3325,0,1,0,0,1,0,1,0,0
9,0.2439024390243903,0.7930572828522582,0.6800000000000002,0.23076923076923084,0.3265306122448983,0.5833333333333335,0.38666666666666666,0.5534154988140161,0.7879999999999999,0.5454545454545455,0.33333333333333337,0.6384573003939673,0.534668721109399,0.3015873015873014,0.4281544074795258,0.4575771324863884,1.0,0,1,1,0,0,0,0,0,1
